uniqueID	Date	real_match	registered_voter	weight	q1	age	sex	q4	q5	q6	q7	q8	q9	q10	q11a	q11b	q11c	q11d	q11e	q12	q13	q14	q15	q16	q17	q18	latino	race	q21	race_combine	q4_rollup	q5_rollup	q6_rollup	q7_rollup	q10_rollup	q12_rollup	surveyMode	panel_respondent	filerace	dma	clarityparty	clarityturnout	partyfile	tax_score	choice_score	church_score	enviro_score	college_score	guncontrol_score	gunowner_score	progressive_gunowner_score	tv_cable	tv_satellite	tv_broadcast	cellphone_score	commercial_party	marijuana_score	low_tv	trump_approve_score	retired_score	county_name
1613	2020-04-04	1	1	0.750997	2	52	2	2	0	9	2	2		1	1	2	2	2	1	9	1	2	2	2	2	2	2	1	2	1	2	9	4	2	2	4	IVR	2	1	545	4	5	1	3	2	2	1	1	1	5	1	3	3	1	1	2	3	1	3	1	BEAUFORT
1614	2020-04-04	1	1	1.80325	4	46	1	6	3	0		1	2	1	1	2	2	2	2	9	1	2	2	1	1	1	2	2	1	2	3	3	1		2	4	IVR	2	2	517	5	5	1	3	5	4	2	5	3	2	1	4	2	1	2	5	4	1	1	1	MECKLENBURG
1615	2020-04-04	1	1	0.655998	4	81	2	2	9	2	2	2		0	1	2	2	2	2	5	1	2	2	2	1	1	2	1	1	1	2	9	2	2	1	3	IVR	2	1	560	5	5	1	4	5	2	4	5	5	2	2	4	1	1	1	5	5	2	1	5	ORANGE
1616	2020-04-04	1	1	0.204222	3	66	1	1	9	3	3	2		0	2	2	2	2	2	9	1	2	2	2	1	2	2	1	1	1	2	9	2	2	1	4	IVR	2	1	518	5	5	1	4	3	3	2	2	4	3	2	3	3	1	1	4	4	1	1	4	RANDOLPH
1617	2020-04-04	1	1	0.63225	4	76	1	2	9	0		2		0	2	2	2	2	2	9	1	2	2	2	1	1	2	1	0	1	2	9	1		1	4	IVR	2	1	545	1	5	2		3	3	1	4	2	3	2	4	2	1	1	2	2	1	5	5	PAMLICO
1618	2020-04-04	1	1	0.178311	3	71	1	2	9	0		2		0	2	2	2	2	2	9	2	2	2	2	2	2	2	1	1	1	2	9	1		1	4	IVR	2	1	560	5	5	1	3	2	4	2	1	1	5	1	1	4	1	1	5	2	1	1	4	CUMBERLAND
1619	2020-04-04	1	1	0.834371	3	86	2	2	9	0		9		1	1	1													0	1	2	9	1		2		IVR	2	1	550	1	5	2	3	2	4	1	4	2	4	1	4	3	1	1	1	2	1	5	5	BRUNSWICK
1620	2020-04-04	1	1	0.497086	3	75	1	1	9																				0	1	2	9					IVR	2	1	560	1	5	3	2	2	4	1	3	2	4	2	2	3	1	1	3	3	1	4	4	CHATHAM
1621	2020-04-04	1	1	0.896	3	73	2	2	9	3																			0	1	2	9	2				IVR	2	1	517	1	5	2	1	3	4	1	4	2	2	1	4	1	1	1	4	4	1	5	5	MECKLENBURG
1622	2020-04-04	1	1	0.178311	1	92	1						0																0	1							IVR	2	1	560	1	5	2	1	1	5	1	3	1	5	1	2	4	1	1	1	1	2	5	5	CUMBERLAND
1623	2020-04-04	1	1	0.257792	3	83	1	2	9																				0	2	2	9					IVR	2	2	517	5	4	1	3	3	4	2	1	3	2	1	4	2	1	1	5	2	1	1	5	MECKLENBURG
1624	2020-04-04	1	1	0.204222	2	81	1	2					0																0	1	2						IVR	2	1	518	4	5	1	3	1	5	1	2	1	5	1	2	4	1	1	1	2	1	3	5	STOKES
1625	2020-04-04	1	1	0.321406	3	81	2	2	9																				0	1	2	9					IVR	2	1	517	5	5	1	3	3	3	2	2	3	4	2	2	3	1	1	5	2	1	1	5	RICHMOND
1626	2020-04-04	1	1	0.321406	3	70	2	2	0	0		2		0	1	2	2	2	2	9	1	2	9	1	1	2	3		0	1	2	9	1		1	4	IVR	2	1	517	1	5	3	3	1	5	1	1	1	5	1	3	3	1	1	3	2	1	4	4	CALDWELL
1627	2020-04-04	1	1	0.497086	3	85	1	2	9	0		1		0	1	2	2	2	2	9	1	2	9	2	1	1	2	1	1	1	2	9	1		1	4	IVR	2	1	560	5	5	1	3	4	4	3	4	4	4	3	1	4	1	1	3	1	1	1	5	MOORE
1628	2020-04-04	2		0.646848	3	53	1	3	9	0		2		0	1					9	1	1	2	1	2	2	2	2	1	2	2	9	1		1	4	IVR	2																							
1629	2020-04-04	2		0.473584	4	45	1	3	1	1	1	1	2	0	2	2	2	1	2	9	1	2	2	1	1	2	2	2	1	2	2	1	2	2	1	4	IVR	2																							
1630	2020-04-04	1	1	0.497086	4	65	1	4	0	4	4																		0	1	3	9	3	3			IVR	2	1	560	5	5	1	3	4	3	2	4	4	3	2	3	2	1	1	3	4	1	2	3	HARNETT
1631	2020-04-04	1	1	0.669229	3	77	1						0																0	2							IVR	2	2	550	5	5	1	5	3	5	3	4	4	4	3	2	4	1	1	5	2	1	1	5	COLUMBUS
922	2020-04-04	1	1	1.64602	3	48	2	4	1	0		1	2	0	1	2	2	2	2	6	1	2	1	2	1	1	2	1	1	1	3	1	1		1	3	IVR	1	1	560	5	5	3	3	5	3	3	3	5	3	2	4	2	1	1	5	5	2	1	1	MOORE
1632	2020-04-04	1	1	0.216166	1	72	1	1	9	0		2		0	1	2	2	2	2	9	1	2	9	2	2	2	2	2	2	2	2	9	1		1	4	IVR	2	2	518	5	5	1	3	2	4	2	2	2	4	2	3	3	1	1	5	3	1	1	5	WILKES
1633	2020-04-04	2		1.00607	3	40	1	1	9	0		1		0	2	2	1	2	2	9	1	2	2	1	1	2	2	1	1	1	2	9	1		1	4	IVR	2																							
1634	2020-04-04	1	1	1.24728	3	53	1	4	9	0		1		0	1					9	1	2	9	3	1	1	2	1	1	1	3	9	1		1	4	IVR	2	1	560	1	5	2	1	2	4	1	5	1	5	1	2	4	1	1	1	1	4	5	1	SAMPSON
1635	2020-04-04	1	1	0.340205	2	72	2	2	9	2	2	2		1	1	1	1	1	1	9	1	2	2	1	2	2	2	2	1	2	2	9	2	2	2	4	IVR	2	2	517	5	5	1	3	3	4	2	1	5	2	1	4	1	1	1	5	4	1	1	5	MECKLENBURG
1636	2020-04-04	1	1	0.204222	4	78	1	2	9	0		2		0	1	1				9	1	2	2	1	1	2	2	1	2	1	2	9	1		1	4	IVR	2	1	518	5	5	1	3	3	3	2	2	3	3	2	3	2	1	1	4	2	1	1	5	DAVIDSON
1637	2020-04-04	1	1	1.42852	4	63	1	3	5	0		1		0	1	2	2	2	2	9	1	1	1	1	1	1	2	1	1	1	2	5	1		1	4	IVR	2	1	518	3	5	1	2	2	3	1	4	1	4	1	4	3	1	1	1	2	2	3	2	FORSYTH
1638	2020-04-04	1	1	0.751322	2	81	2	1	9																				0	1	2	9					IVR	2	1	518	5	5	1	3	2	4	3	3	5	3	3	4	2	1	1	5	4	1	1	5	ROCKINGHAM
1639	2020-04-04	1	1	1.32023	4	50	1	4	1	6	6	1	2	0	1					3	1	2	2	1	2	1	2	2	1	2	3	1	3	3	1	2	IVR	2	2	560	5	5	1	5	3	4	4	5	5	2	2	3	2	1	1	5	5	1	1	1	WAKE
1640	2020-04-04	1	1	0.834371	3	72	2	3					0																0	1	2						IVR	2	1	567	1	5	3	2	1	4	1	3	1	4	1	3	2	1	1	1	2	1	5	4	BUNCOMBE
1641	2020-04-04	1	1	0.569318	4	80	1						0																0	1							IVR	2	1	518	4	5	3	3	4	2	1	4	4	3	2	4	1	1	1	1	3	1	2	5	GUILFORD
1642	2020-04-04	1	1	0.204222	3	78	1	4	1	0		2	2	0	1	2				9	1	2	2	1	2	2	2	1	1	1	3	1	1		1	4	IVR	2	1	518	1	5	2	2	1	5	1	1	1	5	1	2	4	1	1	1	1	1	5	5	ROCKINGHAM
1643	2020-04-04	1	1	1.58643	3	47	1	3	9	9	0	9		9	1	2	2	2	2	9	1	2	9	3	2	1	2	1	1	1	2	9	4	1	4	4	IVR	2	1	567	1	3	3	3	1	4	1	1	1	5	1	1	4	1	1	2	2	1	4	1	RUTHERFORD
1644	2020-04-04	1	1	0.257792	3	80	1	4	9	1	2	1		1	1					9	1	2	2	1	9	2	2	2	1	2	3	9	2	2	2	4	IVR	2	2	517	5	5	1	3	3	4	2	1	4	2	2	4	2	1	1	5	2	1	1	5	MECKLENBURG
1645	2020-04-04	1	1	0.235315	3	72	2	2	9	9	1	2		1	2	2	2	2	2	7	1	2	9	2	2	2	2	1	1	1	2	9	4	2	2	4	IVR	2	1	560	4	5	1	3	2	4	2	1	1	5	1	2	4	1	1	4	2	1	2	4	SAMPSON
1646	2020-04-04	1	1	0.569318	4	81	1	2					0	0	1	2	2	2	2	1	1	2	2	2	1	1	2	1	1	1	2				1	2	IVR	2	1	518	1	5	2	2	2	4	1	5	2	2	1	4	1	1	1	1	1	1	5	4	GUILFORD
1647	2020-04-04	1	2	2.80466	4	31	1	2	9																				0	1	2	9					IVR	2	1	517	5		3		4	4		4	5	4	3		2	1		5	4	1	2	1	
1648	2020-04-04	1	1	0.51243	4	61	1	1	9	2	1	2		0	1	2	2	2	2	9	1	2	2	2	1	2	2	1	1	1	2	9	2	2	1	4	IVR	2	1	518	1	5	2	2	2	4	1	4	1	5	1	3	2	1	1	1	2	1	5	1	DAVIDSON
1649	2020-04-04	1	1	0.204222	4	80	1	2	9																				0	1	2	9					IVR	2	1	518	1	5	2	1	2	4	1	1	1	2	1	3	2	1	1	2	2	1	5	5	YADKIN
1650	2020-04-04	1	1	0.178311	4	68	1	2	9	3	3	2		0	1					9	1	2	9	2	1	2	2		0	1	2	9	2	2	1	4	IVR	2	1	560	3	5	3	2	3	3	1	4	1	3	1	3	3	2	1	2	4	1	3	4	FRANKLIN
1651	2020-04-04	1	1	0.243547	2	87	1	1	9	2	2	2		0	1	2				0	1	2							0	1	2	9	2	2	1	1	IVR	2	1	517	3	5	3	2	2	3	1	3	2	3	1	4	2	1	1	1	1	1	3	4	UNION
1652	2020-04-04	1	1	0.243547	2	72	1	1	0	1										7	1	2	9	1	1	2	2	1	1	1	2	9	2			4	IVR	2	1	517	5	5	1	3	3	3	2	1	4	2	1	3	2	1	1	1	4	1	1	4	MECKLENBURG
1653	2020-04-04	1	1	0.750997	2	54	2						0																0	1							IVR	2	1	544	5	5	1	3	2	3	2	1	2	5	1	2	4	1	1	3	3	1	1	1	CHOWAN
1654	2020-04-04	1	1	0.655998	3	81	2	2					0																0	1	2						IVR	2	1	560	5	5	1	3	5	3	3	4	5	3	3	4	1	1	1	5	4	1	1	5	WAKE
1655	2020-04-04	1	1	0.669229	3	69	1	2	9	1	1	2		0	1	2	2	2	2	9	1	9	2	1	2	1	2	2	1	2	2	9	2	2	1	4	IVR	2	2	550	5	5	1	3	3	4	3	2	5	3	3	3	2	1	1	5	3	1	1	4	NEW HANOVER
1656	2020-04-04	1	1	0.751322	2	88	2	2	9																				0	1	2	9					IVR	2	1	518	5	5	1	3	3	3	2	5	2	5	2	4	3	1	1	4	2	1	1	5	FORSYTH
1657	2020-04-04	1	1	0.235315	1	67	2	3	9	0		2		0	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	2	9	1		1	2	IVR	2	1	560	1	5	3	2	2	2	1	2	1	3	1	4	2	1	2	1	4	1	5	3	MOORE
1658	2020-04-04	1	1	0.497086	4	69	1	2	9	1	1	2		0	1	2	2	2	2	9	1	2	2	2	1	1	2	1	1	1	2	9	2	2	1	4	IVR	2	1	560	5	5	1	5	2	4	4	5	5	2	2	4	1	1	1	5	4	1	1	3	DURHAM
1659	2020-04-04	1	1	0.216166	2	87	1	5	9	0		1		0	1	2	2	2	2	8	1	2	9	1	1	2	2	2	1	2	3	9	1		1	4	IVR	2	2	518	5	5	1	3	3	4	3	4	4	3	2	3	2	1	1	5	2	1	1	4	GUILFORD
1660	2020-04-04	1	1	0.178311	3	69	1						0																0	1							IVR	2	1	560	4	5	1	3	2	3	1	1	2	4	2	4	3	1	1	3	3	1	2	4	GRANVILLE
1661	2020-04-04	1	1	0.204222	3	74	1		9	4	1	1		1	2	2	2	2		9	1	2	9	1	2	2	2	1	1	1		9	3	2	2	4	IVR	2	1	518	5	5	1	3	3	3	2	2	4	2	2	4	2	1	1	5	3	1	1	5	SURRY
1662	2020-04-04	2		0.269509	2	73	2	2	9	1	0	1		0	2	2	2	1	2	9	1	2	9	1	1	2	2	1	1	1	2	9	2	1	1	4	IVR	2																							
1663	2020-04-04	1	1	0.655998	4	78	2						0																0	1							IVR	2	1	560	1	5	2	2	2	3	1	4	1	4	1	4	2	1	1	1	2	1	5	5	CUMBERLAND
1664	2020-04-04	1	1	1.67922	4	53	1	2	9																				0	2	2	9					IVR	2	2	544	5	5	3	3	2	4	2	4	3	3	2	3	2	1	1	2	4	1	1	1	PASQUOTANK
1665	2020-04-04	1	1	0.473584	2	61	1	3	9	2	2	2																	0	2	2	9	2	2			IVR	2	2	560	5	5	1	5	3	4	2	2	4	3	2	2	4	1	1	5	3	1	1	2	NORTHAMPTON
1666	2020-04-04	1	1	1.32023	2	62	1	5	9	2	0	2		1	2														0	2	3	9	2	1	2		IVR	2	2	560	5	5	3	3	4	4	2	3	4	4	3	3	2	1	1	5	4	1	1	1	DURHAM
1667	2020-04-04	1	1	1.42852	4	45	1	4	2	3	3	2	2	0	1	2	2	2	2	9	1	2	9	1	1	1	2	1	1	1	3	2	2	2	1	4	IVR	2	1	518	1	5	2	2	2	4	1	4	1	3	1	4	1	1	1	1	2	2	5	1	FORSYTH
1668	2020-04-04	1	1	0.18874	3	73	1	1	9	1	0	1		1	2	1	1	1	1	9	1	2	9	2	1	2	2	2	2	2	2	9	2	1	2	4	IVR	2	2	560	5	5	1	5	3	3	2	2	3	2	1	4	2	1	1	5	3	1	1	4	WAKE
1669	2020-04-04	1	1	0.669229	4	82	1	6	1	0		1		0	1					9	1	2	2						0	2	3	1	1		1	4	IVR	2	2	545	5	5	1	5	3	4	4	5	5	2	2	5	2	1	1	5	3	1	1	5	CARTERET
1670	2020-04-04	1	1	0.676247	4	60	2	3	9	2	2																		0	1	2	9	2	2			IVR	2	1	518	1	5	2	2	2	4	1	2	1	4	1	4	3	1	1	2	2	1	5	1	WILKES
1671	2020-04-04	1	1	1.58643	2	57	1	2	0	0		2		2	2	2		2	2	2	1	2	9	2	2	1	2	1	2	1	2	9	1		2	2	IVR	2	1	567	1	5	2			3		3										2	3	1	POLK
1672	2020-04-04	1	2	0.226796	4	79	1	9	9	9	9	2		9	2	2	2	2	2	9	1	2	2	2	2	2	2	1	1	1	4	9	4	4	4	4	IVR	2	1	550	3		3		2	3	1	1	3	2	1	3	2	1	1	4	1	1	3	5	
1673	2020-04-04	1	1	0.316805	3	73	2	3	1	9	6	1	2	9	2	3	1	1	2	9	1	2	2	2	1	2	2	3	1	3	2	1	4	3	4	4	IVR	2	4	570	5	5	1	3	2	3	2	2	4	4	3	3	3	1	1	5	2	1	1	4	ROBESON
1674	2020-04-04	1	1	0.602357	2	62	1	2	9	2	2	1		2	1	1	1	1	1	9	1	2	9	1	1	2	2	2	2	2	2	9	2	2	2	4	IVR	2	2	545	5	5	1	3	3	4	3	2	3	4	3	2	4	1	1	5	3	1	1	2	CRAVEN
1675	2020-04-04	1	1	0.257792	3	69	1	1					0	9	2	2	2	2	2	9	1	2	2	1	9	2	2		2	2	2				4	4	IVR	2	2	517	5	5	1	3	3	4	3	2	3	4	2	3	2	1	1	5	4	1	1	4	CLEVELAND
1676	2020-04-04	1	1	0.235315	3	95	2	1	0	7	5	2								9	1	2	2	2	1	2	2	1	2	1	2	9	4	3		4	IVR	2	1	560	5	5	1	4	4	4	2	3	4	2	2	3	1	1	1	5	2	1	1	5	WAKE
1677	2020-04-04	1	1	0.316805	3	73	2	2	9	2	2	2		0	1	2	2			9	1	2	9	1	9	2	2	2	2	2	2	9	2	2	1	4	IVR	2	1	550	1	5	2	2	2	5	1	3	1	4	1	3	2	1	1	1	2	1	5	5	NEW HANOVER
303	2020-04-04	1	1	0.497086	4	75	1	2	9	0		2		0	1					9	1	2	9	1	1	1	2	1	1	1	2	9	1		1	4	IVR	1	1	560	5	5	1		4	1	2	3	4	2		3					3	1	1	4	WAKE
1678	2020-04-04	1	1	0.542401	4	53	1	4	1	9	5	1	2	1	1	2	2	2	2	9	1	2	2	1	1	2	2	2	2	2	3	1	4	3	2	4	IVR	2	2	518	5	5	1	3	2	3	2	2	3	4	2	4	3	1	1	5	3	1	1	1	CASWELL
1679	2020-04-04	1	1	0.321406	4	92	2	2	9	0		2		0	1					6	1	2	2	2	3	2	2	1	1	1	2	9	1		1	3	IVR	2	1	517	1	5	2	2	1	5	1	3	1	4	1	4	2	1	1	1	1	1	5	5	UNION
1680	2020-04-04	1	1	0.226796	3	67	1	2	9	0		2		0	1	2	2	2	2	9	1	2	9	1	1	2	2	1	1	1	2	9	1		1	4	IVR	2	1	570	1	5	3	3	1	4	1	1	1	4	1	4	2	1	1	1	1	1	5	4	SCOTLAND
1681	2020-04-04	1	1	0.63225	2	86	1						0																0	1							IVR	2	1	550	1	5	2	2	1	5	1	4	1	2	1	3	2	1	1	1	1	1	5	5	NEW HANOVER
1682	2020-04-04	1	1	1.42852	3	63	1	3	9	4	3	2		0	1	2	1	1	1	9	1	2	9	2	1	1	2	1	2	1	2	9	3	2	1	4	IVR	2	1	518	5	5	1	4	4	4	3	4	4	5	4	1	4	1	1	5	4	1	1	2	SURRY
1683	2020-04-04	1	1	0.321406	1	66	2	2	9	9	9	1		1	1	2	2												0	1	2	9	4	4	2		IVR	2	1	517	1	5	3	2	2	4	1	3	1	4	1	2	3	1	1	2	3	1	5	4	STANLY
1684	2020-04-04	1	1	1.70361	2	62	1	5	1	1	1	1	2	0	1	2	2	2	2	9	1	2	2	2	1	1	2	1	1	1	3	1	2	2	1	4	IVR	2	1	517	1	5	3	3	2	3	1	4	2	2	1	4	1	1	1	2	2	1	4	2	MECKLENBURG
1685	2020-04-04	1	1	1.24728	4	52	1	9	3																				0	1	4	3					IVR	2	1	560	4	5	3		3	3	2	3	3	3	2	3	2	1			4	2	2	1	CUMBERLAND
1686	2020-04-04	1	1	0.51243	3	64	1	3	9	9	9	1		1	2	2	2	1	2	9	1	2	1	1	1	2	2	1	2	1	2	9	4	4	2	4	IVR	2	1	518	1	5	2	2	3	3	1	4	1	5	1	3	2	1	1	1	2	1	5	3	DAVIDSON
1687	2020-04-04	1	1	0.240061	3	83	1	1	9																				0	9	2	9					IVR	2	4	570	5	5	1	5	2	4	2	1	4	3	2	3	3	1	1	5	2	1	1	5	ROBESON
1688	2020-04-04	1	1	0.497086	4	82	1	1	0	2				1	2	2	2	1	1	3	1	2	9	1	1	1	2	1	1	1	2	9	2		2	2	IVR	2	1	560	1	2	2	2	1	4	1	2	1	2	1	2	2	1	1	1	1	1	5	5	JOHNSTON
1689	2020-04-04	1	1	0.18874	3	70	1	5	1	3	0	1	2	0	1	2	2	2	2	9	1	2	9	1	2	2	2	2	1	2	3	1	2	1	1	4	IVR	2	2	560	5	5	3	3	3	4	2	3	4	2	2	3	2	1	1	5	3	1	1	4	DURHAM
1690	2020-04-04	1	1	0.542401	2	62	1						0																0	2							IVR	2	2	518	5	5	1	3	3	3	2	2	3	1	1	4	2	1	1	5	4	1	1	3	FORSYTH
1691	2020-04-04	1	1	2.24823	4	50	2	3	1	2	2	2	1	0	1	2	2	2	1	6	1	2	2	2	1	1	2	1	0	1	2	1	2	2	1	3	IVR	2	1	517	5	5	1	3	5	1	4	5	5	2	2	4	2	1	1	5	5	2	1	1	MECKLENBURG
1692	2020-04-04	1	1	0.896	4	69	2	2	9	1	1	2		0	2	2	2	2	2	9	1	2	1	2	1	1	2	1	1	1	2	9	2	2	1	4	IVR	2	1	517	5	5	1	4	5	3	3	3	5	2	2	4	1	1	1	5	4	1	1	3	MECKLENBURG
1693	2020-04-04	2		0.51243	3	64	1	3	1	3	3	1	2	0	1					9	1	2	2	2	2	2	2	1	1	1	2	1	2	2	1	4	IVR	2																							
1694	2020-04-04	1	1	0.240061	4	71	1						0																0	2							IVR	2	2	570	5	5	1	3	1	3	2	2	3	3	1	3	3	1	1	5	2	1	1	4	ROBESON
1695	2020-04-04	1	1	1.32023	2	64	1	2	9	1	1	1		1	1					9	1	2	2	1	1	1	1		1	4	2	9	2	2	2	4	IVR	2	3	560	4	5	3	3	3	3	3	2	4	2	2	2	3	1	1	5	4	1	2	3	LEE
664	2020-04-04	2		0.678949	3	76	1	2	9	0		2		0	2	2	2	2	2	8	1	2	9	2	1	1	2	1	1	1	2	9	1		1	4	IVR	1																							
1696	2020-04-04	1	1	0.204222	4	71	1	6	9																				0	1	3	9					IVR	2	1	518	5	5	1	3	3	2	2	1	2	4	2	3	2	1	1	4	3	1	2	4	RANDOLPH
1697	2020-04-04	1	1	2.70985	3	44	2	1	9																				0	1	2	9					IVR	2	1	560	1	3	2			4		4										1	5	1	CUMBERLAND
1698	2020-04-04	1	1	0.676247	3	64	2	2	9	2	2	1		0	1	2	2	2	2	9	1	2	9	1	2	2	2	1	1	1	2	9	2	2	1	4	IVR	2	1	518	1	5	3	2	1	5	1	2	1	5	1	2	3	1	1	1	2	1	5	2	RANDOLPH
1699	2020-04-04	1	1	0.497086	3	68	1	4	9	0		1		0	1	2	2	2	2	9	1	2	2	3	1	1	2	1	2	1	3	9	1		1	4	IVR	2	1	560	1	5	3	2	1	5	1	3	1	4	1	1	3	1	1	1	2	1	5	3	HARNETT
1700	2020-04-04	1	1	0.834371	3	78	2	2	9	0		2		0	2	2	2	2	2	9	1	2	9	1	1	1	2	1	1	1	2	9	1		1	4	IVR	2	1	567	2	5	3	3	4	4	3	4	3	4	2	3	2	1	1	4	2	1	2	5	HENDERSON
1701	2020-04-04	1	1	0.204222	3	86	1	2	9	3	9	9		2	2					9	1	2	9	2	9	2	2	1	2	1	2	9	2	4	2	4	IVR	2	1	518	1	5	2	2	1	5	1	1	1	4	1	4	3	1	1	1	2	1	5	5	DAVIDSON
138	2020-04-04	1	1	1.70361	2	60	1	2	9	1	1	2		0	2	2	2	2	2	9	1	2	9	1	1	1	2	1	1	1	2	9	2	2	1	4	IVR	1	1	517	1	5	2	2	2	5	1	5	2	4	1	4	2	1	1	1	1	2	5	1	MECKLENBURG
1702	2020-04-04	1	1	1.24728	4	59	1	3	9	0		2		0	1	2	2	2	2	7	1	2	2	1	1	1	2	1	0	1	2	9	1		1	4	IVR	2	1	560	1	5	3	3	3	3	1	5	1	4	1	4	2	1	1	1	2	2	4	1	WAKE
1703	2020-04-04	1	1	0.226796	2	79	1						0																0	1							IVR	2	1	544	5	5	1	3	1	3	1	2	2	4	2	4	2	1	1	2	2	1	2	5	CHOWAN
1704	2020-04-04	1	1	0.204222	2	71	1	2	9	0		1		0	2	2	2	2	2	9	1	2	9						0	1	2	9	1		1	4	IVR	2	1	518	1	5	2	1	1	4	1	1	1	5	1	1	4	1	1	1	1	1	5	4	STOKES
1705	2020-04-04	1	1	0.497086	2	70	1	2	9	3	2	1		1	1	1	9	9	9	9	1	2	9	1	2	1	2	1	1	1	2	9	2	2	2	4	IVR	2	1	560	5	5	1	3	5	3	4	3	5	1	1	5	1	1	1	5	5	1	1	3	DURHAM
1706	2020-04-04	1	2	0.806467	3	59	2	2	9	1	1	2		0	1	2	2	2	2	6	1	2	2	1	1	2	2	1	0	1	2	9	2	2	1	3	IVR	2	1	517	3		3			3		4										1	3	1	
1707	2020-04-04	1	1	1.58643	3	58	1	2	9	9	3	1		0	1	2	2	2	2	7	1	2	9	2	1	1	2	1	1	1	2	9	4	2	1	4	IVR	2	1	545	1	5	2	2	2	3	1	4	1	4	1	3	3	1	1	1	3	2	5	1	CARTERET
1708	2020-04-04	1	1	0.834371	2	90	2	1	9	1	1	2		0	1	2	2	2	2	5	1	2	2	1	9	1	2	1	0	1	2	9	2	2	1	3	IVR	2	1	545	5	5	1	3	3	3	2	2	3	3	2	5	2	1	1	4	2	1	1	5	ONSLOW
1709	2020-04-04	1	1	0.569072	2	52	1	3	1	5	5	2	1	0	1	2	2	2	2	9	1	2	9	1	1	2	2	1	1	1	2	1	3	3	1	4	IVR	2	1	567	1	5	2	1	1	4	1	1	1	5	1	1	4	1	1	1	2	1	5	1	GRAHAM
1710	2020-04-04	1	1	0.569072	2	54	1	1	9	2	1	2		0	2	2	2	2	2	9	1	2	9	1	2	2	2	1	1	1	2	9	2	2	1	4	IVR	2	1	567	1	5	2	2	1	4	1	4	1	4	1	2	3	1	1	1	2	1	5	1	MCDOWELL
1711	2020-04-04	1	1	0.542401	4	53	1						0																0	2							IVR	2	2	518	5	5	1	3	2	4	2	3	4	2	2	3	2	1	1	5	4	1	1	1	ROCKINGHAM
1712	2020-04-04	1	1	0.896	1	90	2	2	9	4	1	2		0	1					8	1	2	2	2	1	1	2	1	0	1	2	9	3	2	1	4	IVR	2	1	517	1	5	2	2	1	4	1	3	2	3	1	5	2	1	1	1	1	1	5	5	MECKLENBURG
1713	2020-04-04	1	1	0.321406	2	76	2	5	2	0		1																	0	1	3	2	1				IVR	2	1	517	1	5	2	2	3	3	1	2	1	4	1	4	2	1	1	1	2	1	5	4	IREDELL
1714	2020-04-04	1	1	0.51243	7	55	1						0																0	1							IVR	2	1	518	5	5	1	3	3	2	3	2	3	1	1	4	1	1	3	5	4	1	1	1	ROCKINGHAM
